ID,City,Country,Latitude,Longitude,Height,Temperature,Humidity,Pressure,Wind Direction,Wind Speed
21432,OSTROV KOTEL'NYJ,RUSSIAN FEDERATION,76.0,137.8667,14,-8.7,88,1025.8,NE,3.0
21608,ANABAR,RUSSIAN FEDERATION,73.2167,113.5,13,-7.3,82,1024.4,NE,7.0
21636,KIGILYAH,RUSSIAN FEDERATION,73.3333,139.8667,24,-6.4,99,1020.9,E,8.0
21721,IM.YU.A. HABAROVA,RUSSIAN FEDERATION,72.4,126.35,19,-6.8,95,1020.6,N,5.0
21908,DZALINDA,RUSSIAN FEDERATION,70.1333,113.9667,61,-7.8,88,1022.4,NW,2.0
21931,JUBILEJNAJA,RUSSIAN FEDERATION,70.7667,136.2167,24,-6.9,74,1015.2,N,4.0
21946,CHOKURDAH,RUSSIAN FEDERATION,70.6167,147.8833,61,-7.4,93,1017.2,E,7.0
21978,VAL' KARKAJ,RUSSIAN FEDERATION,70.0833,170.9167,5,-8.2,91,1017.9,E,8.0
21982,OSTROV VRANGELJA,RUSSIAN FEDERATION,70.9833,-178.65,4,-9.2,93,1018.4,N,3.0
24871,OHOTSKIJ PEREVOZ,RUSSIAN FEDERATION,61.8667,135.5,140,1.1,66,1019.2,calm,-
24933,KILEER,RUSSIAN FEDERATION,60.95,119.3,249,-1.9,81,1021.0,calm,-
25121,KOLYMSKAYA,RUSSIAN FEDERATION,68.7333,158.7167,12,-7.4,90,1017.3,N,6.0
25248,ILIRNEJ,RUSSIAN FEDERATION,67.25,167.9667,353,-3.3,97,1014.5,NW,1.0
25282,MYS VANKAREM,RUSSIAN FEDERATION,67.8333,-175.8333,4,-9.8,94,1017.3,-,-
25563,ANADYR',RUSSIAN FEDERATION,64.7833,177.5667,60,-7.5,81,1018.1,NW,1.0
25703,SEJMCHAN,RUSSIAN FEDERATION,62.9167,152.4167,210,-3.4,89,1013.5,calm,-
25913,MAGADAN,RUSSIAN FEDERATION,59.55,150.7833,116,-1.8,90,1017.3,W,3.0
25956,APUKA,RUSSIAN FEDERATION,60.4333,169.6667,4,0.5,90,1018.5,SW,4.0
29580,SOLYANKA,RUSSIAN FEDERATION,56.1667,95.2667,357,14.9,22,1010.2,calm,-
29874,KARATUZSKOE,RUSSIAN FEDERATION,53.5833,92.8833,319,16.0,46,1010.3,calm,-
30372,CHARA,RUSSIAN FEDERATION,56.9,118.2667,710,0.2,100,1017.7,NE,2.0
30554,BAGDARIN,RUSSIAN FEDERATION,54.4333,113.5667,902,2.3,89,1013.4,N,4.0
30758,CHITA,RUSSIAN FEDERATION,52.0833,113.4833,670,5.5,81,1010.9,NE,1.0
30949,KYRA,RUSSIAN FEDERATION,49.5667,111.9667,907,4.4,50,1012.4,NW,3.0
31041,UST'-MIL',RUSSIAN FEDERATION,59.6333,133.0333,179,1.6,72,1019.1,NW,1.0
31102,KANKU,RUSSIAN FEDERATION,57.65,125.9667,1204,-3.1,74,-,calm,-
31168,AYAN,RUSSIAN FEDERATION,56.45,138.15,7,-2.4,93,1018.6,N,1.0
31300,ZEJA,RUSSIAN FEDERATION,53.7333,127.2667,230,8.0,43,1012.8,calm,-
31369,NIKOLAEVSK-NA-AMURE,RUSSIAN FEDERATION,53.1333,140.6833,45,-2.0,85,1017.2,N,2.0
31532,CEKUNDA,RUSSIAN FEDERATION,50.8667,132.25,271,2.0,70,1012.7,NE,1.0
31735,HABAROVSK,RUSSIAN FEDERATION,48.5167,135.1833,76,6.2,54,1011.8,SE,2.0
31873,DAL'NERECHENSK,RUSSIAN FEDERATION,45.8667,133.7333,104,9.8,95,1009.3,E,2.0
31960,VLADIVOSTOK,RUSSIAN FEDERATION,43.1167,131.9167,188,7.9,100,1010.1,S,5.0
32061,ALEKSANDROVSK-SAHALINSKIJ,RUSSIAN FEDERATION,50.9,142.1667,31,0.0,91,1017.8,SE,3.0
32165,JUZHNO-KURIL'SK,RUSSIAN FEDERATION,44.0167,145.8667,45,9.0,50,1018.1,calm,-
32215,SEVERO-KURIL'SK,RUSSIAN FEDERATION,50.6833,156.1333,23,2.2,74,1016.4,SE,2.0
32389,KLJUCHI,RUSSIAN FEDERATION,56.3167,160.8333,28,0.9,75,1018.5,E,2.0
32583,PETROPAVLOVSK-KAMCHATSKIJ,RUSSIAN FEDERATION,52.8667,158.65,24,2.1,81,1016.7,SE,1.0
44203,RINCHINLHUMBE,MONGOLIA,51.1167,99.6667,1583,4.6,32,1025.1,S,3.0
44207,HATGAL,MONGOLIA,50.4333,100.15,1668,3.2,34,1024.5,W,4.0
44212,ULAANGOM,MONGOLIA,49.8,92.0833,939,9.8,59,1019.8,S,1.0
44213,BARUUNTURUUN,MONGOLIA,49.65,94.4,1232,12.7,35,1017.6,SE,1.0
44215,OMNO-GOBI,MONGOLIA,49.0167,91.7167,1590,13.4,35,1017.2,E,5.0
44218,HOVD,MONGOLIA,48.0167,91.5667,1405,14.9,27,1016.9,SW,2.0
44225,TOSONTSENGEL,MONGOLIA,48.7333,98.2,1723,8.8,26,1023.4,N,1.0
44230,TARIALAN,MONGOLIA,49.5667,102.0,1235,6.6,28,1023.6,N,5.0
44231,MUREN,MONGOLIA,49.6333,100.1667,1283,10.5,23,1020.1,S,3.0
44232,HUTAG,MONGOLIA,49.3833,102.7,938,7.7,25,1019.2,E,2.0
44237,ERDENEMANDAL,MONGOLIA,48.5333,101.3833,1509,5.9,51,1023.8,W,3.0
44239,BULGAN,MONGOLIA,48.8,103.55,1208,8.9,30,1020.9,E,3.0
44241,BARUUNHARAA,MONGOLIA,48.9167,106.0667,807,5.2,51,1023.2,SE,2.0
44256,DASHBALBAR,MONGOLIA,49.55,114.4,705,3.5,79,1006.2,N,14.0
44259,CHOIBALSAN,MONGOLIA,48.0833,114.55,747,0.7,100,1005.9,NW,6.0
44265,BAITAG,MONGOLIA,46.1167,91.4667,1186,17.8,25,1014.8,calm,-
44272,ULIASTAI,MONGOLIA,47.75,96.85,1759,9.4,31,1021.9,S,4.0
44275,BAYANBULAG,MONGOLIA,46.8333,98.0833,2255,7.5,28,1025.4,W,3.0
44277,ALTAI,MONGOLIA,46.4,96.25,2181,6.3,40,1027.4,S,2.0
44282,TSETSERLEG,MONGOLIA,47.45,101.4667,1691,7.2,34,1020.0,calm,-
44284,GALUUT,MONGOLIA,46.7,100.1333,2126,6.6,28,1025.3,NE,2.0
44285,HUJIRT,MONGOLIA,46.9,102.7667,1662,4.3,40,1024.0,S,1.0
44287,BAYANHONGOR,MONGOLIA,46.1333,100.6833,1859,8.8,26,1021.8,SE,6.0
44288,ARVAIHEER,MONGOLIA,46.2667,102.7833,1813,7.5,28,1022.9,N,2.0
44292,ULAANBAATAR,MONGOLIA,47.9167,106.8667,1729,3.2,44,1024.2,SW,1.0
44294,MAANTI,MONGOLIA,47.3,107.4833,1430,1.4,47,1022.9,NW,8.0
44298,CHOIR,MONGOLIA,46.45,108.2167,1286,3.3,42,1020.7,N,6.0
44302,BAYAN-OVOO,MONGOLIA,47.7833,112.1167,926,3.2,56,1012.6,NW,9.0
44304,UNDERKHAAN,MONGOLIA,47.3167,110.6333,1033,4.5,45,1016.2,NW,12.0
44305,BARUUN-URT,MONGOLIA,46.6833,113.2833,981,3.4,66,1011.0,NW,8.0
44313,KHALKH-GOL,MONGOLIA,47.6167,118.6167,688,4.8,82, 992.8,SW,9.0
44314,MATAD,MONGOLIA,47.1667,115.6333,907,0.6,100,1002.1,NW,12.0
44317,ERDENETSAGAAN,MONGOLIA,45.9,115.3667,1076,1.6,85,1002.6,W,10.0
44336,SAIKHAN-OVOO,MONGOLIA,45.45,103.9,1316,9.9,20,1021.1,N,1.0
44341,MANDALGOBI,MONGOLIA,45.7667,106.2833,1393,5.7,30,1021.5,N,4.0
44347,TSOGT-OVOO,MONGOLIA,44.4167,105.3167,1298,10.2,25,1020.8,NE,5.0
44352,BAYANDELGER,MONGOLIA,45.7333,112.3667,1101,2.2,81,1010.5,NW,10.0
44354,SAINSHAND,MONGOLIA,44.9,110.1167,938,7.4,28,1018.4,NW,8.0
44358,ZAMYN-UUD,MONGOLIA,43.7333,111.9,964,8.3,29,1016.4,N,5.0
