ID,City,Country,Latitude,Longitude,Height,Temperature,Humidity,Pressure,Wind Direction,Wind Speed
29580,SOLYANKA,RUSSIAN FEDERATION,56.1667,95.2667,357,21.6,47,1010.9,SW,1.0
29874,KARATUZSKOE,RUSSIAN FEDERATION,53.5833,92.8833,319,24.1,47,1008.7,N,1.0
30372,CHARA,RUSSIAN FEDERATION,56.9,118.2667,710,19.2,38,1006.0,S,2.0
30554,BAGDARIN,RUSSIAN FEDERATION,54.4333,113.5667,902,14.4,85,1009.9,NW,1.0
30758,CHITA,RUSSIAN FEDERATION,52.0833,113.4833,670,13.8,91,1010.0,N,2.0
30949,KYRA,RUSSIAN FEDERATION,49.5667,111.9667,907,16.1,91,1006.7,W,1.0
31168,AYAN,RUSSIAN FEDERATION,56.45,138.15,7,13.0,83,1015.0,N,2.0
31300,ZEJA,RUSSIAN FEDERATION,53.7333,127.2667,230,16.6,84,1011.2,calm,-
31369,NIKOLAEVSK-NA-AMURE,RUSSIAN FEDERATION,53.1333,140.6833,45,13.5,90,1006.2,NE,2.0
31561,KOMSOMOLSK-NA-AMURE,RUSSIAN FEDERATION,50.5333,137.0333,21,14.3,-,-,N,7.0
31683,TUMNIN,RUSSIAN FEDERATION,49.65,140.0833,57,16.0,98, 999.8,NE,1.0
44203,RINCHINLHUMBE,MONGOLIA,51.1167,99.6667,1583,16.8,46,1013.9,S,1.0
44207,HATGAL,MONGOLIA,50.4333,100.15,1668,15.3,46,1014.1,N,2.0
44212,ULAANGOM,MONGOLIA,49.8,92.0833,939,23.2,30,1009.3,N,3.0
44213,BARUUNTURUUN,MONGOLIA,49.65,94.4,1232,22.6,22,1008.8,N,4.0
44215,OMNO-GOBI,MONGOLIA,49.0167,91.7167,1590,22.3,20,1008.0,NE,1.0
44218,HOVD,MONGOLIA,48.0167,91.5667,1405,24.2,17,1007.2,E,3.0
44225,TOSONTSENGEL,MONGOLIA,48.7333,98.2,1723,22.2,20,1008.5,NW,2.0
44230,TARIALAN,MONGOLIA,49.5667,102.0,1235,17.3,65,1014.1,W,2.0
44231,MUREN,MONGOLIA,49.6333,100.1667,1283,21.7,23,1010.0,N,2.0
44232,HUTAG,MONGOLIA,49.3833,102.7,938,22.8,41,1008.7,NW,2.0
44237,ERDENEMANDAL,MONGOLIA,48.5333,101.3833,1509,18.3,44,1012.7,E,3.0
44239,BULGAN,MONGOLIA,48.8,103.55,1208,15.5,70,1013.0,W,2.0
44241,BARUUNHARAA,MONGOLIA,48.9167,106.0667,807,18.4,65,1013.0,NE,2.0
44256,DASHBALBAR,MONGOLIA,49.55,114.4,705,18.0,100,1004.6,N,2.0
44259,CHOIBALSAN,MONGOLIA,48.0833,114.55,747,24.0,73,1002.9,S,2.0
44265,BAITAG,MONGOLIA,46.1167,91.4667,1186,26.4,18,1004.7,W,3.0
44272,ULIASTAI,MONGOLIA,47.75,96.85,1759,22.8,19,1006.3,W,3.0
44275,BAYANBULAG,MONGOLIA,46.8333,98.0833,2255,19.4,26,1010.2,W,3.0
44277,ALTAI,MONGOLIA,46.4,96.25,2181,21.0,16,1008.6,calm,-
44282,TSETSERLEG,MONGOLIA,47.45,101.4667,1691,19.1,37,1012.1,E,2.0
44284,GALUUT,MONGOLIA,46.7,100.1333,2126,18.9,37,1011.3,NW,1.0
44285,HUJIRT,MONGOLIA,46.9,102.7667,1662,18.7,48,1011.7,NE,3.0
44287,BAYANHONGOR,MONGOLIA,46.1333,100.6833,1859,22.4,26,1007.8,N,2.0
44288,ARVAIHEER,MONGOLIA,46.2667,102.7833,1813,15.6,80,1014.6,E,2.0
44292,ULAANBAATAR,MONGOLIA,47.9167,106.8667,1729,17.1,56,1010.3,NE,4.0
44294,MAANTI,MONGOLIA,47.3,107.4833,1430,17.1,64,1011.0,NW,5.0
44298,CHOIR,MONGOLIA,46.45,108.2167,1286,19.9,56,1008.7,NW,4.0
44302,BAYAN-OVOO,MONGOLIA,47.7833,112.1167,926,19.9,64,1005.5,NW,4.0
44304,UNDERKHAAN,MONGOLIA,47.3167,110.6333,1033,18.5,80,1007.2,NW,2.0
44305,BARUUN-URT,MONGOLIA,46.6833,113.2833,981,22.4,79,1004.9,W,4.0
44313,KHALKH-GOL,MONGOLIA,47.6167,118.6167,688,23.6,75,1007.2,calm,-
44314,MATAD,MONGOLIA,47.1667,115.6333,907,19.9,91,1006.3,SW,4.0
44317,ERDENETSAGAAN,MONGOLIA,45.9,115.3667,1076,21.0,68,1005.2,calm,-
44336,SAIKHAN-OVOO,MONGOLIA,45.45,103.9,1316,21.9,49,1010.4,NE,5.0
44341,MANDALGOBI,MONGOLIA,45.7667,106.2833,1393,20.4,42,1010.1,NW,4.0
44347,TSOGT-OVOO,MONGOLIA,44.4167,105.3167,1298,23.6,46,1009.1,NE,1.0
44352,BAYANDELGER,MONGOLIA,45.7333,112.3667,1101,21.6,75,1003.3,NW,3.0
44354,SAINSHAND,MONGOLIA,44.9,110.1167,938,23.5,54,1007.2,NW,4.0
44358,ZAMYN-UUD,MONGOLIA,43.7333,111.9,964,25.4,57,1005.0,N,2.0
44373,DALANZADGAD,MONGOLIA,43.5833,104.4167,1465,23.5,39,1008.7,E,3.0
45007,HONG KONG INTERNATIONAL AIRPORT,"HONG KONG, CHINA",22.3,113.9167,7,29.8,82,1010.0,-,-
45032,TA KWU LING,"HONG KONG, CHINA",22.5167,114.15,14,28.3,91,1009.8,calm,-
45035,LAU FAU SHAN,"HONG KONG, CHINA",22.4667,113.9833,35,28.7,89,1010.1,SE,2.0
45039,SHA TIN,"HONG KONG, CHINA",22.4,114.2,12,29.2,86,1010.5,SW,3.0
45044,CHEUNG CHAU,"HONG KONG, CHINA",22.2,114.0167,79,27.4,99,1010.6,SW,3.0
47003,SENBONG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,42.3167,130.4,3,-,-,1008.4,NW,1.0
47005,SAMJIYON,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,41.8167,128.3,1381,15.0,85,-,NE,2.0
47008,CHONGJIN,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,41.7833,129.8167,43,-,-,1009.2,calm,-
47014,CHUNGGANG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,41.7833,126.8833,331,22.0,88,1011.5,calm,-
47016,HYESAN,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,41.4,128.1667,714,20.3,82,1011.0,calm,-
47020,KANGGYE,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.9667,126.6,306,24.0,75,1020.6,calm,-
47022,PUNGSAN,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.8167,128.15,1200,17.7,82,-,NW,2.0
47025,KIMCHAEK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.6667,129.2,23,-,-,1003.0,S,1.0
47028,SUPUNG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.45,124.9333,76,25.0,81,1010.8,calm,-
47031,CHANGJIN,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.3667,127.25,1080,20.5,86,-,N,2.0
47035,SINUIJU,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.1,124.3833,7,26.8,71,1008.3,calm,-
47037,KUSONG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,39.9833,125.25,99,25.9,87,1002.2,calm,-
47039,HUICHON,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.1667,126.25,155,26.0,83,1006.6,calm,-
47041,HAMHEUNG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,39.9333,127.55,22,27.9,78,1004.2,SW,1.0
47046,SINPO,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,40.0333,128.1833,19,-,-,1005.1,NE,1.0
47050,ANJU,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,39.6167,125.65,27,25.2,69,1007.8,SW,2.0
47052,YANGDOK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,39.2167,126.65,279,24.6,89,1009.2,calm,-
